Drug,lncRNA
Streptozocin,AL450384.2
Streptozocin,VASH1-AS1
Sulfamethizole,NDUFB2-AS1
Sulfamethizole,AP001062.1
Sulfamethizole,SMG7-AS1
Sulfamethizole,LINC00599
Sulfamethizole,LINC00472
Phenazopyridine,PYY2
Phenazopyridine,AC012377.1
Phenazopyridine,MYCNOS
Phenazopyridine,LINC00599
Phenazopyridine,AC096564.2
Phenazopyridine,DIAPH2-AS1
Phenazopyridine,NDST2
Sulfapyridine,AL441883.1
Sulfapyridine,NDST2
Sulfapyridine,TP53TG1
Sulfapyridine,HAND2-AS1
Sulfapyridine,AL157838.1
Sulfapyridine,LINC00599
Sulfapyridine,AC093010.3
Leflunomide,ZNF710-AS1
Leflunomide,ZNF213-AS1
Leflunomide,NDUFB2-AS1
Leflunomide,IDI2-AS1
Leflunomide,AL157838.1
Leflunomide,LINC00599
Leflunomide,MYCNOS
Leflunomide,SMG7-AS1
Leflunomide,SNHG14
Leflunomide,AC093010.3
Podofilox,MCM3AP-AS1
Podofilox,LINC01136
Podofilox,AC093010.3
Podofilox,MEG3
Podofilox,MIR22HG
Podofilox,AP003469.4
Podofilox,AP001062.1
Podofilox,LINC00599
Podofilox,ZNF213-AS1
propidium iodide,AC007389.3
propidium iodide,ZNF710-AS1
propidium iodide,NBPF1
propidium iodide,SMIM27
Pheneticillin,EGOT
Pheneticillin,KIF25-AS1
Pheneticillin,MEG3
Pheneticillin,FOXN3-AS2
Pheneticillin,ZNF213-AS1
Metoprolol,MYCNOS
Metoprolol,EGOT
Metoprolol,AL355922.1
Metoprolol,AL021937.4
Metoprolol,AL157838.1
Metoprolol,AL450384.2
Metoprolol,AC007613.1
Metoprolol,ELOA-AS1
Metoprolol,KIF25-AS1
Metoprolol,NOP14-AS1
Metoprolol,MEG3
Metoprolol,ZNF213-AS1
Metoprolol,LINC00339
Medrysone,PYY2
Medrysone,MEG3
Medrysone,THAP9-AS1
Medrysone,ELOA-AS1
Medrysone,SNHG17
Medrysone,AC010834.1
Medrysone,CROCCP2
Medrysone,AL355922.1
Medrysone,AC004674.1
Medrysone,LINC01963
Medrysone,XIST
Medrysone,LINC00652
Medrysone,SNHG3
Medrysone,TP53TG1
Medrysone,LINC00339
Demeclocycline,AL117378.1
Demeclocycline,AP001062.1
Demeclocycline,RFPL1S
Demeclocycline,AL450384.2
meclofenoxate,SMIM27
meclofenoxate,EGOT
meclofenoxate,TP53TG1
meclofenoxate,PYY2
meclofenoxate,AC007389.3
meclofenoxate,ENSG00000229645
meclofenoxate,ACVR2B-AS1
meclofenoxate,SNHG17
meclofenoxate,CROCCP2
meclofenoxate,AL031598.1
meclofenoxate,FOXD1-AS1
meclofenoxate,TCL6
meclofenoxate,NEAT1
meclofenoxate,AC010542.4
meclofenoxate,AL355922.1
meclofenoxate,NOP14-AS1
meclofenoxate,LINC00342
meclofenoxate,THAP9-AS1
meclofenoxate,IDI2-AS1
Levonorgestrel,EGOT
Levonorgestrel,AL450384.2
Levonorgestrel,PART1
Levonorgestrel,CROCCP2
Levonorgestrel,AC007389.3
Levonorgestrel,PYY2
Levonorgestrel,ENSG00000229645
Levonorgestrel,AL355922.1
Levonorgestrel,NOP14-AS1
Levonorgestrel,SNHG17
Levonorgestrel,ELOA-AS1
Cloperastine,AL034550.1
Cloperastine,NOP14-AS1
sulfamethoxypyridazine,LINC02172
sulfamethoxypyridazine,LINC00563
sulfamethoxypyridazine,SNHG20
sulfamethoxypyridazine,SMIM27
sulfamethoxypyridazine,AC096564.2
sulfamethoxypyridazine,LINC01963
sulfamethoxypyridazine,BRD3OS
sulfamethoxypyridazine,AL021937.4
sulfamethoxypyridazine,LINC00339
Flumethasone,VASH1-AS1
Flumethasone,AC096564.2
Flunixin,SNHG3
Flunixin,NOP14-AS1
Flunixin,TCL6
Flunixin,LINC01361
Flunixin,THAP9-AS1
Flunixin,MCF2L-AS1
Flunixin,WT1-AS
Flunixin,LINC00563
Flunixin,MCM3AP-AS1
Flunixin,SNHG17
Flunixin,TP53TG1
Fenoprofen,AL031598.1
Bendroflumethiazide,XIST
Bendroflumethiazide,VASH1-AS1
Bendroflumethiazide,AC093010.3
eucatropine,AL034550.1
eucatropine,HAND2-AS1
eucatropine,RFPL1S
eucatropine,SMG7-AS1
Flecainide,SMAD5-AS1
Flecainide,AL034550.1
Flecainide,LINC00963
Spiramycin,AC093010.3
Spiramycin,LINC00599
ethoxyquin,PRIM2
ethoxyquin,RFPL1S
ethoxyquin,NDST2
ethoxyquin,TP53TG1
Sulfamethazine,TCL6
Sulfamethazine,AL117378.1
Sulfamethazine,MEG3
Sulfamethazine,AL450384.2
Dicoumarol,MEG3
Dicoumarol,LINC01963
Dicoumarol,TCL6
Dicoumarol,MIR22HG
Dicoumarol,KIF25-AS1
Dicoumarol,AL021937.4
Dicoumarol,SNHG20
Dicoumarol,AL450384.2
Isocarboxazid,MEG3
Isocarboxazid,LINC01963
Isocarboxazid,LINC00472
Mephentermine,AC093010.3
Mephentermine,MIR22HG
Cefazolin,LINC00599
Cefazolin,AL021937.4
glycopyrronium bromide,MEG3
glycopyrronium bromide,ATXN8OS
glycopyrronium bromide,TP73-AS1
glycopyrronium bromide,TCL6
glycopyrronium bromide,AL139352.1
glycopyrronium bromide,AC007613.1
trichostatin A,AP001062.1
trichostatin A,AP003469.4
Diethylstilbestrol,AL117378.1
Tinidazole,AL450384.2
Tinidazole,AC010834.1
Tinidazole,LINC01361
Guaifenesin,AL441883.1
Guaifenesin,IDI2-AS1
Guaifenesin,VASH1-AS1
Methimazole,AP003469.4
Methimazole,RFPL1S
Methimazole,CTXND1
Methimazole,AC093010.3
lithocholic acid,AP001062.1
alpha-ergocryptine,THAP9-AS1
alpha-ergocryptine,AP001062.1
alpha-ergocryptine,HAND2-AS1
alpha-ergocryptine,LINC00472
alpha-ergocryptine,AC093010.3
alpha-ergocryptine,TP73-AS1
atractyloside,LINC00963
atractyloside,TCL6
atractyloside,SMIM27
atractyloside,AL021937.4
atractyloside,AC093010.3
Guanadrel,IDI2-AS1
Guanadrel,NOP14-AS1
Guanadrel,AC090360.1
Guanadrel,LINC00963
Guanadrel,MEG3
alexidine,THAP9-AS1
alexidine,LINC00599
alexidine,NEAT1
alexidine,AP003469.4
alexidine,LINC00963
alexidine,LINC00342
alexidine,NDST2
alexidine,LINC01963
alexidine,CROCCP2
alexidine,SNHG14
alexidine,AC093010.3
Sulfadimethoxine,AP003469.4
Sulfadimethoxine,LINC00563
Sulfadimethoxine,LINC00652
Sulfadimethoxine,AL021937.4
Sulfadimethoxine,IDI2-AS1
Sulfadimethoxine,TCL6
Sulfadimethoxine,TP53TG1
calcium folinate,AP003469.4
calcium folinate,LINC00472
calcium folinate,PRIM2
calcium folinate,NDST2
monensin,AL157395.1
monensin,LINC00652
monensin,AL034550.1
monensin,ZNF213-AS1
monensin,KIF25-AS1
monensin,EGOT
monensin,SNHG14
monensin,LINC00963
monensin,TP53TG1
Procainamide,KIF25-AS1
Procainamide,ACVR2B-AS1
Procainamide,AL117378.1
Procainamide,LINC01136
thioguanosine,ELOA-AS1
thioguanosine,RHPN1-AS1
thioguanosine,IDI2-AS1
thioguanosine,LINC00339
thioguanosine,VASH1-AS1
Amoxicillin,AC098487.1
Amoxicillin,MCF2L-AS1
Amoxicillin,SNHG3
Amoxicillin,SNHG17
Benfluorex,AP003469.4
naftidrofuryl,KIF25-AS1
naftidrofuryl,LINC00342
naftidrofuryl,LINC00574
naftidrofuryl,ZNF213-AS1
naftidrofuryl,AC004690.2
naftidrofuryl,KLF3-AS1
naftidrofuryl,WT1-AS
Pentoxyverine,VASH1-AS1
Pentoxyverine,AC002310.2
Pentoxyverine,TP73-AS1
Pentoxyverine,NDUFB2-AS1
Clomifene,MCF2L-AS1
Clomifene,VASH1-AS1
Clomifene,SNHG3
Clomifene,AC010834.1
Clomifene,MIR22HG
Clomifene,RFPL1S
zoxazolamine,AL021937.4
N6-methyladenosine,VASH1-AS1
Chlorprothixene,AC002310.2
Chlorprothixene,NDUFB2-AS1
Chlorprothixene,VASH1-AS1
Chlorprothixene,LINC01361
Chlorprothixene,RHPN1-AS1
Cephalexin,ZNF213-AS1
Cephalexin,VASH1-AS1
Cephalexin,AL021937.4
Cephalexin,IDI2-AS1
Bepridil,AC004690.2
Bepridil,NDST2
Bezafibrate,LINC00339
Bezafibrate,SMAD5-AS1
Bezafibrate,AL441883.1
dequalinium chloride,NDST2
dequalinium chloride,KIF25-AS1
dequalinium chloride,AC090360.1
oxantel,KIF25-AS1
oxantel,ACVR2B-AS1
oxantel,AFDN-DT
oxantel,RHPN1-AS1
oxantel,AC010834.1
oxantel,PRKCZ-AS1
oxantel,AL157838.1
oxantel,AL139352.1
Tacrine,CTXND1
Tacrine,MYCNOS
Tacrine,AL157838.1
Guanfacine,VASH1-AS1
Guanfacine,LINC01136
Guanfacine,NDST2
Ritodrine,AL021937.4
Ritodrine,ZNF213-AS1
Dextromethorphan,AL031598.1
Dextromethorphan,NDST2
Dextromethorphan,HEXA-AS1
Dextromethorphan,MCF2L-AS1
Dextromethorphan,AL139352.1
Dextromethorphan,ZNF213-AS1
Buspirone,AC002310.2
Mimosine,ACVR2B-AS1
Mimosine,VASH1-AS1
Mimosine,ZNF213-AS1
trichostatin A,SMG7-AS1
Ketoconazole,LINC01963
Prochlorperazine,AL157838.1
Prochlorperazine,GSN-AS1
Bisoprolol,AL450384.2
Bisoprolol,ACVR2B-AS1
Bisoprolol,CTXND1
Bisoprolol,AL021937.4
Flupentixol,AL450384.2
Flupentixol,AC090360.1
Flupentixol,AL139352.1
Clozapine,AL031598.1
Clozapine,ELOA-AS1
Clozapine,AC098487.1
Clozapine,AL157838.1
Droperidol,AC007613.1
Droperidol,AC002310.2
clebopride,CTXND1
clebopride,AL157838.1
Fusidic Acid,RHPN1-AS1
Hesperidin,AL021937.4
Hesperidin,LINC02172
Hesperidin,AL157838.1
Hesperidin,AL031598.1
Testosterone,SNHG14
androsterone,LINC00339
androsterone,IDI2-AS1
androsterone,ELOA-AS1
suloctidil,SNHG17
suloctidil,AP003469.4
suloctidil,LINC00963
suloctidil,CTXND1
suloctidil,MIR22HG
coralyne,LINC01361
coralyne,KIF25-AS1
Estradiol,LINC01963
Estradiol,AC002310.2
Estradiol,PVT1
3-hydroxy-DL-kynurenine,EGOT
3-hydroxy-DL-kynurenine,LINC00339
Domperidone,CTXND1
Domperidone,AL031598.1
Domperidone,VENTXP1
Domperidone,AL117378.1
Domperidone,KIF25-AS1
Domperidone,LINC01136
Ouabain,ZNF213-AS1
Ouabain,AL117378.1
Ouabain,SNHG3
Ouabain,NEAT1
Ouabain,SNHG17
Ouabain,RHPN1-AS1
Ouabain,NBPF1
Ouabain,AL157838.1
Arecoline,CTXND1
Arecoline,AL031598.1
Arecoline,AC002310.2
Anisomycin,ZNF213-AS1
Anisomycin,TUG1
Anisomycin,NOP14-AS1
Anisomycin,MEG3
Anisomycin,SNHG17
Anisomycin,EGOT
Acetylsalicylic acid,AC007389.3
Acetylsalicylic acid,LINC01136
Acetylsalicylic acid,NDUFB2-AS1
Tanespimycin,ENSG00000229645
Sirolimus,LINC00599
Estradiol,AC007389.3
Valproic Acid,AFDN-DT
Valproic Acid,AC093010.3
Valproic Acid,AC007613.1
Valproic Acid,NOP14-AS1
Valproic Acid,AC098487.1
Valproic Acid,AL450384.2
alpha-estradiol,LINC01361
alpha-estradiol,HAND2-AS1
alpha-estradiol,PART1
alpha-estradiol,TP73-AS1
alpha-estradiol,IDI2-AS1
alpha-estradiol,TCL6
Tretinoin,NDST2
Tretinoin,AC007389.3
Tretinoin,AL355922.1
Tretinoin,AC093010.3
trichostatin A,NOP14-AS1
trichostatin A,AC004674.1
Alvespimycin,AC007389.3
Alvespimycin,NDST2
Alvespimycin,LINC01963
Alvespimycin,NEAT1
Alvespimycin,AL450384.2
Alvespimycin,ATXN8OS
Alvespimycin,IDI2-AS1
Valproic Acid,AC007876.1
Valproic Acid,AC044802.1
Valproic Acid,PART1
Valproic Acid,AC002310.2
Valproic Acid,AL031598.1
Prochlorperazine,MIR22HG
Prochlorperazine,AFDN-DT
LY-294002,LINC01963
LY-294002,IDI2-AS1
Chlorpromazine,IDI2-AS1
Chlorpromazine,PRIM2
Chlorpromazine,AC007405.1
Chlorpromazine,XIST
Chlorpromazine,Z83844.2
Chlorpromazine,NDST2
Chlorpromazine,GSN-AS1
Tanespimycin,AP003469.4
Tanespimycin,AC007389.3
Tanespimycin,LINC01963
monorden,AC093010.3
monorden,LINC01963
monorden,THAP9-AS1
monorden,LINC01361
monorden,NBPF1
monorden,CROCCP2
monorden,AC098487.1
Vorinostat,AC002310.2
Vorinostat,BRD3OS
Vorinostat,AL450384.2
Vorinostat,AFDN-DT
Vorinostat,AC093010.3
Vorinostat,PART1
Sirolimus,AL021937.4
Sirolimus,IDI2-AS1
Masoprocol,LINC00472
Masoprocol,AC090360.1
Masoprocol,LINC01963
Masoprocol,IDI2-AS1
Masoprocol,CTXND1
Trifluoperazine,AL450384.2
Trifluoperazine,AC093010.3
Trifluoperazine,AC098487.1
Trifluoperazine,MIR22HG
Trifluoperazine,AFDN-DT
Trifluoperazine,AL117378.1
Trifluoperazine,LINC02172
Tanespimycin,ZNF213-AS1
Tanespimycin,TP73-AS1
Tanespimycin,TCL6
Tanespimycin,EGOT
Tanespimycin,LINC01361
Tanespimycin,AL034550.1
Tanespimycin,AC093010.3
Tanespimycin,AL117378.1
Tanespimycin,IDI2-AS1
Tanespimycin,PART1
Tanespimycin,AC096564.2
LY-294002,MYCNOS
LY-294002,TCL6
LY-294002,AL450384.2
Geldanamycin,AL031598.1
Geldanamycin,TCL6
Geldanamycin,LINC01361
Geldanamycin,NOP14-AS1
Geldanamycin,ACVR2B-AS1
Geldanamycin,AC093010.3
Clozapine,AL450384.2
Clozapine,AC093010.3
Clozapine,LINC01361
Clozapine,IDI2-AS1
Clozapine,AL034550.1
Thioridazine,AC098487.1
Thioridazine,MYCNOS
Thioridazine,TCL6
Thioridazine,AFDN-DT
Thioridazine,TP53TG1
Thioridazine,LINC02172
Thioridazine,NOP14-AS1
Thioridazine,AP003469.4
Thioridazine,ACVR2B-AS1
Thioridazine,GSN-AS1
15-delta prostaglandin J2,NDUFB2-AS1
15-delta prostaglandin J2,AC093010.3
15-delta prostaglandin J2,IDI2-AS1
15-delta prostaglandin J2,SNHG14
15-delta prostaglandin J2,ENSG00000229645
15-delta prostaglandin J2,AL021937.4
Troglitazone,AC098487.1
Troglitazone,NDST2
Troglitazone,LINC00472
Troglitazone,TCL6
Troglitazone,AFDN-DT
Rosiglitazone,VASH1-AS1
Rosiglitazone,LINC00599
Rosiglitazone,AC007389.3
Rosiglitazone,IDI2-AS1
Rosiglitazone,LINC00563
Genistein,AP003469.4
Genistein,AC002310.2
Genistein,ZNF710-AS1
Genistein,AC098487.1
Genistein,AL034550.1
Genistein,LINC01361
Genistein,AC096564.2
Genistein,AC007876.1
LY-294002,LINC00599
LY-294002,MCM3AP-AS1
LY-294002,MEG3
Fluphenazine,CTXND1
Fluphenazine,NOP14-AS1
Fluphenazine,AL117378.1
Fluphenazine,AC002310.2
Fluphenazine,PART1
Fluphenazine,AL021937.4
Fluphenazine,LINC01361
Fluphenazine,FOXN3-AS2
Fulvestrant,LINC01361
Fulvestrant,EGOT
Fulvestrant,TCL6
Fulvestrant,AC098487.1
Fulvestrant,AC002310.2
Fulvestrant,ZNF213-AS1
LY-294002,EGOT
LY-294002,LINC00472
Valproic Acid,LINC01136
Valproic Acid,MYCNOS
Valproic Acid,DIAPH2-AS1
Valproic Acid,TP53TG1
Valproic Acid,IDI2-AS1
Valproic Acid,AC090360.1
Valproic Acid,AL034550.1
Valproic Acid,EGOT
Valproic Acid,ZNF213-AS1
Valproic Acid,AC010834.1
Valproic Acid,AC004674.1
Estradiol,AC093010.3
Estradiol,VASH1-AS1
Estradiol,AC098487.1
Sirolimus,LINC00472
Sirolimus,AC093010.3
Sirolimus,AC002310.2
Sirolimus,AL034550.1
Sirolimus,EGOT
Sirolimus,AC044802.1
Wortmannin,LINC01361
Wortmannin,VASH1-AS1
Wortmannin,LINC01136
Wortmannin,MCF2L-AS1
Wortmannin,IDI2-AS1
Haloperidol,AC098487.1
Haloperidol,LINC01361
Haloperidol,LINC00963
Haloperidol,MCF2L-AS1
Haloperidol,TCL6
Haloperidol,AL021937.4
Ribostamycin,LINC00963
Ribostamycin,IDI2-AS1
Vidarabine,CTXND1
Vidarabine,TP73-AS1
Vidarabine,NDUFB2-AS1
Vidarabine,XIST
Vidarabine,AL031598.1
proadifen,AP001062.1
proadifen,AC096564.2
Hexylcaine,VASH1-AS1
Hexylcaine,PVT1
Hexylcaine,LINC01361
Sulfanilamide,XIST
Sulfanilamide,NOP14-AS1
Sulfanilamide,LINC01963
Sulfanilamide,TP53TG1
Sulfanilamide,AC098487.1
Sulfanilamide,VASH1-AS1
Sulfanilamide,IDI2-AS1
Levonordefrin,AP001062.1
Levonordefrin,LINC00652
Levonordefrin,NDST2
Sulfameter,NDUFB2-AS1
Sulfameter,AL450384.2
Sulfameter,LINC00963
Sulfameter,LINC00472
Sulfameter,NBPF1
Sulfameter,AFDN-DT
Zomepirac,PVT1
drofenine,IDI2-AS1
pridinol,AFDN-DT
pridinol,IDI2-AS1
hecogenin,LINC01963
hecogenin,HAND2-AS1
hecogenin,AP001062.1
Ebselen,KIF25-AS1
Ebselen,MYCNOS
Ebselen,LINC00963
Ebselen,XIST
Ebselen,LINC01963
mevalolactone,ACVR2B-AS1
mevalolactone,AC098487.1
mevalolactone,TP73-AS1
mevalolactone,NDUFB2-AS1
mevalolactone,AFDN-DT
mevalolactone,IDI2-AS1
isopropamide iodide,NDST2
isopropamide iodide,LINC00563
trichostatin A,HAND2-AS1
trichostatin A,AL441883.1
cicloheximide,ACVR2B-AS1
cicloheximide,NDUFB2-AS1
cicloheximide,VASH1-AS1
cicloheximide,ELOA-AS1
cicloheximide,WT1-AS
cicloheximide,AL031598.1
cicloheximide,ATXN8OS
cicloheximide,AC007613.1
cicloheximide,MYCNOS
cicloheximide,AL355922.1
cicloheximide,AL034550.1
cicloheximide,LINC00963
cicloheximide,BRD3OS
cicloheximide,LINC00563
cicloheximide,MCM3AP-AS1
cicloheximide,AL450384.2
cicloheximide,AP003469.4
cicloheximide,LINC00339
cicloheximide,MCF2L-AS1
cicloheximide,TCL6
cicloheximide,MIR22HG
Amrinone,AC007389.3
Amrinone,LINC01361
Amrinone,NDST2
Amrinone,IDI2-AS1
Carbinoxamine,AC010834.1
bergenin,LINC00652
Azlocillin,HAND2-AS1
Azlocillin,AL157838.1
Azlocillin,LINC00472
Azlocillin,VASH1-AS1
Azlocillin,MCF2L-AS1
Azlocillin,LINC01963
Azlocillin,AL034550.1
butacaine,LINC00472
butacaine,VASH1-AS1
securinine,NDUFB2-AS1
securinine,NDST2
securinine,LINC00599
securinine,AL355922.1
securinine,ELOA-AS1
securinine,LINC00342
securinine,ENSG00000229645
Cefapirin,AFDN-DT
Cefapirin,NDUFB2-AS1
Cefapirin,XIST
Gabapentin,LINC01963
Gabapentin,IDI2-AS1
Methazolamide,AL139352.1
Methazolamide,LINC00472
Methazolamide,TP53TG1
Methazolamide,MYCNOS
Methazolamide,AC010834.1
Methazolamide,AC007389.3
Methazolamide,LINC00652
Methazolamide,LINC00963
Methazolamide,MCF2L-AS1
Methazolamide,TCL6
Methazolamide,KIF25-AS1
Methazolamide,NOP14-AS1
Methazolamide,AL157838.1
Methazolamide,AL034550.1
Methazolamide,MEG3
Methazolamide,WT1-AS
Methazolamide,MYMX
Methazolamide,NDUFB2-AS1
clidinium bromide,AFDN-DT
clidinium bromide,LINC01963
clidinium bromide,EGOT
clidinium bromide,TCL6
clidinium bromide,AL117378.1
clidinium bromide,AL441883.1
clidinium bromide,IDI2-AS1
clidinium bromide,KIF25-AS1
clidinium bromide,KLF3-AS1
clidinium bromide,AC010834.1
clidinium bromide,AC068870.1
clidinium bromide,TP53TG1
clidinium bromide,MYCNOS
clidinium bromide,TP73-AS1
Cefoxitin,AL157838.1
Cefoxitin,AL117378.1
Cefoxitin,AC010834.1
Cefoxitin,AL034550.1
Cefoxitin,CTXND1
Cefoxitin,LINC00652
Cefoxitin,AC090360.1
Cefoxitin,LINC01361
Cefoxitin,ACVR2B-AS1
Cefoxitin,KIF25-AS1
Cefoxitin,NDUFB2-AS1
Cefoxitin,LINC00472
Cefoxitin,EGOT
Cefoxitin,AL031598.1
Alimemazine,LINC01361
Alimemazine,AL117378.1
Alimemazine,AL157838.1
Alimemazine,XIST
Alimemazine,ZNF213-AS1
Alimemazine,NOP14-AS1
Alimemazine,LINC01963
Alimemazine,MYCNOS
Doxycycline,AC093010.3
Doxycycline,EGOT
Doxycycline,LINC00652
Doxycycline,AC010834.1
Doxycycline,AL450384.2
Doxycycline,AL117378.1
Doxycycline,DIAPH2-AS1
Doxycycline,AC004674.1
Doxycycline,HEXA-AS1
Doxycycline,AC036108.1
Doxycycline,ACVR2B-AS1
Doxycycline,AL031598.1
Doxycycline,IDI2-AS1
Doxycycline,AC007389.3
Doxycycline,LINC00963
Doxycycline,AL157838.1
Doxycycline,LINC01361
Doxycycline,TP53TG1
Doxycycline,MYCNOS
Doxycycline,KIF25-AS1
Doxycycline,TCL6
Doxycycline,AC007613.1
Doxycycline,AC044802.1
Doxycycline,NOP14-AS1
Raloxifene,AC010834.1
Raloxifene,TP73-AS1
Raloxifene,AL034550.1
Raloxifene,MIR22HG
Raloxifene,KIF25-AS1
Raloxifene,LINC01361
Raloxifene,AC007389.3
Raloxifene,AL157838.1
Raloxifene,AC090360.1
Raloxifene,LINC00963
Raloxifene,AC068870.1
Raloxifene,LINC01963
Raloxifene,MYCNOS
Raloxifene,AC002310.2
Raloxifene,MMP24OS
Raloxifene,EGOT
Raloxifene,AL117378.1
Raloxifene,ZNF213-AS1
Raloxifene,LINC00652
Raloxifene,AP001062.1
Raloxifene,NDUFB2-AS1
Raloxifene,TP53TG1
Iopromide,MYMX
Iopromide,MYCNOS
Iopromide,NDUFB2-AS1
Iopromide,LINC00574
Iopromide,LINC01361
Iopromide,LINC00963
Iopromide,IDI2-AS1
Iopromide,AL117378.1
Iopromide,AC007389.3
Iopromide,AC010834.1
Iopromide,AL034550.1
Iopromide,TCL6
pyrithyldione,AP001062.1
pyrithyldione,LINC00963
pyrithyldione,AC007405.1
pyrithyldione,AL117378.1
pyrithyldione,AC007389.3
pyrithyldione,AL034550.1
pyrithyldione,TCL6
pyrithyldione,NOP14-AS1
pyrithyldione,TP53TG1
pyrithyldione,ZNF213-AS1
pyrithyldione,CTXND1
pyrithyldione,AL031598.1
pyrithyldione,KIF25-AS1
pyrithyldione,LINC01361
pyrithyldione,AC004674.1
pyrithyldione,PART1
pyrithyldione,IDI2-AS1
pyrithyldione,MYCNOS
pyrithyldione,NDUFB2-AS1
Bucladesine,ZNF213-AS1
Bucladesine,HAND2-AS1
Bucladesine,ACVR2B-AS1
Bucladesine,MEG3
Bucladesine,MYCNOS
Bucladesine,AC007389.3
Bucladesine,AL034550.1
Bucladesine,TCL6
Bucladesine,MIR22HG
Bucladesine,AC010834.1
Bucladesine,LINC01963
Bucladesine,LINC00963
Bucladesine,MCF2L-AS1
Bucladesine,NDUFB2-AS1
Bucladesine,LINC01136
Bucladesine,DIAPH2-AS1
Bucladesine,EGOT
sulfamonomethoxine,LINC00563
sulfamonomethoxine,NOP14-AS1
sulfamonomethoxine,PYY2
sulfamonomethoxine,AL034550.1
sulfamonomethoxine,AC007389.3
sulfamonomethoxine,IDI2-AS1
sulfamonomethoxine,KIF25-AS1
sulfamonomethoxine,TP53TG1
sulfamonomethoxine,LINC01361
sulfamonomethoxine,MIR22HG
sulfamonomethoxine,PART1
sulfamonomethoxine,AC036108.1
sulfamonomethoxine,AC010834.1
sulfamonomethoxine,LINC00652
sulfamonomethoxine,AC007613.1
sulfamonomethoxine,MYCNOS
sulfamonomethoxine,EGOT
sulfamonomethoxine,TCL6
sulfamonomethoxine,AC004674.1
sulfamonomethoxine,RHPN1-AS1
sulfamonomethoxine,NDUFB2-AS1
sulfamonomethoxine,LINC00472
L-proline betaine,ACVR2B-AS1
dipivefrine,SNHG14
Noscapine,AP003469.4
Noscapine,ZNF710-AS1
tomatidine,SNHG3
tomatidine,RHPN1-AS1
harmine,AP003469.4
harmine,BRD3OS
harmine,CROCCP2
harmine,MCM3AP-AS1
harmine,AC007389.3
harmine,RHPN1-AS1
harmine,AL450384.2
harmine,LINC00963
Pyridoxine,MCF2L-AS1
DL-thiorphan,BRD3OS
DL-thiorphan,LINC00963
syrosingopine,AFDN-DT
syrosingopine,AL021937.4
syrosingopine,LINC00963
syrosingopine,AP003469.4
syrosingopine,THAP9-AS1
Dacarbazine,ACVR2B-AS1
Dacarbazine,SNHG14
Yohimbine,AC007389.3
piperlongumine,AP003469.4
piperlongumine,MCM3AP-AS1
piperlongumine,ZNF213-AS1
piperlongumine,LINC00963
piperlongumine,SNHG3
piperlongumine,RHPN1-AS1
ellipticine,CROCCP2
ellipticine,AC010542.4
ellipticine,BRD3OS
ellipticine,LINC00339
ellipticine,MCM3AP-AS1
ellipticine,THAP9-AS1
ellipticine,RHPN1-AS1
ellipticine,NBPF1
ellipticine,SNHG20
ellipticine,AP003469.4
ellipticine,SNHG3
ellipticine,LINC00963
ellipticine,ZNF213-AS1
Riboflavin,IDI2-AS1
Lobeline,ELOA-AS1
Lobeline,LINC00963
calycanthine,LINC00963
calycanthine,RFPL1S
hydrocotarnine,RHPN1-AS1
hydroquinine,ELOA-AS1
Acepromazine,AC002310.2
Berberine,IDI2-AS1
cinchonidine,AL021937.4
Racecadotril,NDUFB2-AS1
aconitine,AL441883.1
aconitine,ACVR2B-AS1
(+)-chelidonine,ZNF213-AS1
(+)-chelidonine,PART1
(+)-chelidonine,AC098487.1
(+)-chelidonine,AL117378.1
(+)-chelidonine,CROCCP2
(+)-chelidonine,MIR22HG
(+)-chelidonine,ATXN8OS
(+)-chelidonine,SNHG20
quipazine,AL441883.1
Folic Acid,AL117378.1
Folic Acid,LINC00563
Rescinnamine,RHPN1-AS1
Xylazine,ZNF213-AS1
cinchonine,AC098487.1
cinchonine,AL117378.1
cinchonine,NDST2
conessine,RFPL1S
trichostatin A,RFPL1S
Bicuculline,HEXA-AS1
seneciphylline,IDI2-AS1
gramine,RHPN1-AS1
protoveratrine A,MCF2L-AS1
protoveratrine A,RHPN1-AS1
emetine,PART1
emetine,CROCCP2
emetine,AL450384.2
emetine,SNHG17
emetine,MCF2L-AS1
trimethylcolchicinic acid,SNHG3
trimethylcolchicinic acid,ACVR2B-AS1
boldine,SMAD5-AS1
boldine,LINC00342
boldine,ZNF213-AS1
Harmaline,LINC00963
harman,LINC00342
harman,AC010834.1
quinisocaine,LINC00342
solanine,THAP9-AS1
Glimepiride,LINC01963
hydroxyachillin,LINC00339
hydroxyachillin,MIR22HG
hydroxyachillin,LINC00963
hydroxyachillin,SNHG3
picrotoxinin,ELOA-AS1
picrotoxinin,RHPN1-AS1
canadine,AL441883.1
succinylsulfathiazole,AP003469.4
succinylsulfathiazole,LINC00339
succinylsulfathiazole,AC098487.1
Benzocaine,MAPKAPK5-AS1
Benzocaine,SNHG20
Benzocaine,NEAT1
Benzocaine,LINC00339
Benzocaine,MIR22HG
Benzocaine,LINC02172
salsolidin,RHPN1-AS1
salsolidin,IDI2-AS1
salsolidin,ENSG00000229645
salsolidin,NDST2
Selegiline,MCF2L-AS1
Selegiline,AC098487.1
Cetirizine,NDST2
norcyclobenzaprine,AL450384.2
Benperidol,NEAT1
Benperidol,SNHG14
etifenin,LINC00339
Thiabendazole,SNHG3
